# year,month,oceanic_fraction,continental_fraction,land_fraction,forest_fraction
1.987000000000000000e+03,1.000000000000000000e+00,9.291517657529840823e-01,7.084823424701588990e-02,2.612416461745913770e-02,4.472406962955675219e-02
1.987000000000000000e+03,2.000000000000000000e+00,8.695097539319698310e-01,1.304902460680301690e-01,3.009136215233640388e-02,1.003988839156937651e-01
1.987000000000000000e+03,3.000000000000000000e+00,7.406596906868940788e-01,2.593403093131059212e-01,7.811396907939843759e-02,1.812263402337074836e-01
1.987000000000000000e+03,4.000000000000000000e+00,8.195597101143662355e-01,1.804402898856337922e-01,3.674073626954438287e-02,1.436995536160894094e-01
1.987000000000000000e+03,5.000000000000000000e+00,6.789141252237911317e-01,3.210858747762088128e-01,8.228048227322057318e-02,2.388053925029882396e-01
1.987000000000000000e+03,6.000000000000000000e+00,5.054204509186579486e-01,4.945795490813419959e-01,1.396660173696599450e-01,3.549135317116820509e-01
1.987000000000000000e+03,7.000000000000000000e+00,5.315922473463363662e-01,4.684077526536636338e-01,1.297529943184519974e-01,3.386547583352116364e-01
1.987000000000000000e+03,8.000000000000000000e+00,4.806144983143734173e-01,5.193855016856265827e-01,1.262568633118253403e-01,3.931286383738012424e-01
1.987000000000000000e+03,9.000000000000000000e+00,4.960560961266260449e-01,5.039439038733739551e-01,7.851109086281360394e-02,4.254328130105603512e-01
1.987000000000000000e+03,1.000000000000000000e+01,5.579323596389225148e-01,4.420676403610775407e-01,2.850052849118500653e-02,4.135671118698925341e-01
1.987000000000000000e+03,1.100000000000000000e+01,8.540285221959189599e-01,1.459714778040810401e-01,5.380543073992447023e-02,9.216604706415656989e-02
1.987000000000000000e+03,1.200000000000000000e+01,9.327729455065065789e-01,6.722705449349343498e-02,3.039460099480805616e-02,3.683245349868537882e-02
1.988000000000000000e+03,1.000000000000000000e+00,9.537646362658891430e-01,4.623536373411082923e-02,2.448143654840053210e-02,2.175392718571029713e-02
1.988000000000000000e+03,2.000000000000000000e+00,9.655074793445950210e-01,3.449252065540493739e-02,2.370119843628389761e-02,1.079132221912103978e-02
1.988000000000000000e+03,3.000000000000000000e+00,9.428714073942514595e-01,5.712859260574851966e-02,3.721860745715868668e-02,1.990998514858983298e-02
1.988000000000000000e+03,4.000000000000000000e+00,8.164201356351628025e-01,1.835798643648372530e-01,5.132209105478205413e-02,1.322577733100551989e-01
1.988000000000000000e+03,5.000000000000000000e+00,6.768753018577531311e-01,3.231246981422469244e-01,2.296397162397290082e-02,3.001607265182740236e-01
1.988000000000000000e+03,6.000000000000000000e+00,5.178655930948414809e-01,4.821344069051585746e-01,1.391129850635871024e-01,3.430214218415714722e-01
1.988000000000000000e+03,7.000000000000000000e+00,3.332105970161056696e-01,6.667894029838943304e-01,2.692096229289744902e-01,3.975797800549198402e-01
1.988000000000000000e+03,8.000000000000000000e+00,1.480748828131486228e-01,8.519251171868513772e-01,3.075950623223597802e-01,5.443300548644915970e-01
1.988000000000000000e+03,9.000000000000000000e+00,3.854802393223176749e-01,6.145197606776823251e-01,1.148200852986426268e-01,4.996996753790396983e-01
1.988000000000000000e+03,1.000000000000000000e+01,7.425839344597141567e-01,2.574160655402858433e-01,5.956692859035905840e-02,1.978491369499267849e-01
1.988000000000000000e+03,1.100000000000000000e+01,8.744949306234652830e-01,1.255050693765347170e-01,3.951095428250393782e-02,8.599411509403077913e-02
1.988000000000000000e+03,1.200000000000000000e+01,9.530458605510850889e-01,4.695413944891492497e-02,3.362783697584886822e-02,1.332630247306605675e-02
1.989000000000000000e+03,1.000000000000000000e+00,9.478416979506366635e-01,5.215830204936332953e-02,2.774571729087861247e-02,2.441258475848471707e-02
1.989000000000000000e+03,2.000000000000000000e+00,9.485841791442980453e-01,5.141582085570199634e-02,2.797169229107880281e-02,2.344412856462319353e-02
1.989000000000000000e+03,3.000000000000000000e+00,9.567828432842097053e-01,4.321715671579032247e-02,3.327371642190112000e-02,9.943440293889205944e-03
1.989000000000000000e+03,4.000000000000000000e+00,8.961395483176897159e-01,1.038604516823102286e-01,3.637596155929262443e-02,6.748449012301760419e-02
1.989000000000000000e+03,5.000000000000000000e+00,6.073759321374746500e-01,3.926240678625253500e-01,7.013356338209408847e-02,3.224905044804312615e-01
1.989000000000000000e+03,6.000000000000000000e+00,8.174193907330649100e-01,1.825806092669351455e-01,2.454579185037286670e-02,1.580348174165622788e-01
1.989000000000000000e+03,7.000000000000000000e+00,4.990775383329467685e-01,5.009224616670532315e-01,1.981077877504994755e-01,3.028146739165537560e-01
1.989000000000000000e+03,8.000000000000000000e+00,4.647099960085440129e-01,5.352900039914559871e-01,1.399040253233995168e-01,3.953859786680564703e-01
1.989000000000000000e+03,9.000000000000000000e+00,4.315619658160293470e-01,5.684380341839706530e-01,1.183637534183375473e-01,4.500742807656331057e-01
1.989000000000000000e+03,1.000000000000000000e+01,7.777776483204780211e-01,2.222223516795219789e-01,4.127398773053136960e-02,1.809483639489906093e-01
1.989000000000000000e+03,1.100000000000000000e+01,9.196556089997185435e-01,8.034439100028145653e-02,3.204597333861994995e-02,4.829841766166150657e-02
1.989000000000000000e+03,1.200000000000000000e+01,9.436519536372318662e-01,5.634804636276812689e-02,3.619233754093877098e-02,2.015570882182935591e-02
1.990000000000000000e+03,1.000000000000000000e+00,9.566838332491046648e-01,4.331616675089538376e-02,2.487106211621578286e-02,1.844510463467960090e-02
1.990000000000000000e+03,2.000000000000000000e+00,9.629096422735837768e-01,3.709035772641618850e-02,3.362819382949576441e-02,3.462163896920427125e-03
1.990000000000000000e+03,3.000000000000000000e+00,9.526214828398175127e-01,4.737851716018251502e-02,3.055285058173469112e-02,1.682566657844782390e-02
1.990000000000000000e+03,4.000000000000000000e+00,9.111192466624650210e-01,8.888075333753493734e-02,4.163861722817268490e-02,4.724213610936225244e-02
1.990000000000000000e+03,5.000000000000000000e+00,7.791733552326710610e-01,2.208266447673289667e-01,4.345021797201231717e-02,1.773764267953166496e-01
1.990000000000000000e+03,6.000000000000000000e+00,7.213658565463996197e-01,2.786341434536004358e-01,8.765006991195170571e-02,1.909840735416487301e-01
1.990000000000000000e+03,7.000000000000000000e+00,6.404812449063839175e-01,3.595187550936160270e-01,1.149679726547423453e-01,2.445507824388736817e-01
1.990000000000000000e+03,8.000000000000000000e+00,3.642262842903650766e-01,6.357737157096349234e-01,2.561742901452518373e-01,3.795994255643830861e-01
1.990000000000000000e+03,9.000000000000000000e+00,4.275923889764478014e-01,5.724076110235521986e-01,1.047195976867038025e-01,4.676880133368483961e-01
1.990000000000000000e+03,1.000000000000000000e+01,5.932677783410590377e-01,4.067322216589409623e-01,3.819419581024108279e-02,3.685380258486998795e-01
1.990000000000000000e+03,1.100000000000000000e+01,8.921304432012404639e-01,1.078695567987595916e-01,3.563706595363534679e-02,7.223249084512424478e-02
1.990000000000000000e+03,1.200000000000000000e+01,9.546402264861749698e-01,4.535977351382503020e-02,2.904238035639036125e-02,1.631739315743466895e-02
1.991000000000000000e+03,1.000000000000000000e+00,9.583634714697828461e-01,4.163652853021709843e-02,2.876206118634433775e-02,1.287446734387276068e-02
1.991000000000000000e+03,2.000000000000000000e+00,9.499599106818996663e-01,5.004008931810036837e-02,2.529773382149334490e-02,2.474235549660702346e-02
